date,epiweek,region,fips,positiveIncr,negativeIncr,ttlTestIncr,onVentilation,inIcu,deathIncr,death_jhu_incidence,recovered,covid-net,hospitalizeIncr,hospitalization,n_visits,cases,h_next1,h_next2,d_next1,d_next2
11/04/2020,202015,CO,8,2337,8245,10582,0,0,139,139,0,11.7,489,,,0.477510867157954,443,611,141,283
18/04/2020,202016,CO,8,2537,8117,10654,0,0,141,141,0,2.9,443,,,0.042223514343524,611,244,283,88
25/04/2020,202017,CO,8,3209,10273,13482,0,0,283,283,2086,,611,,,0.029848381492481,244,,88,
02/05/2020,202018,CO,8,2479,10181,12660,0,0,88,88,8850,,244,,,0.000506464135074,,,,
07/03/2020,202010,CT,9,0,0,0,0,0,0,0,0,0,0,,,4.88074094093813,0,0,0,4
14/03/2020,202011,CT,9,11,125,136,0,0,0,0,0,0.6,0,,,5.57157347854507,0,0,4,23
21/03/2020,202012,CT,9,183,1981,2164,0,0,4,4,0,4.2,0,,,5.269353087012,0,0,23,138
28/03/2020,202013,CT,9,1097,5003,6100,0,0,23,23,0,17.3,0,,,3.67886076287449,0,0,138,329
04/04/2020,202014,CT,9,3985,9644,13629,0,0,138,138,0,32.7,0,,,2.58767570216643,0,0,329,542
11/04/2020,202015,CT,9,6234,11568,17802,0,0,329,329,0,32,0,,,1.54829111773725,0,0,542,826
18/04/2020,202016,CT,9,5299,10332,15631,0,0,542,542,0,28.3,0,,,0.571357814793605,0,0,826,306
25/04/2020,202017,CT,9,7773,14367,22140,0,0,826,826,0,,0,,,0.457311865250926,0,,306,
02/05/2020,202018,CT,9,2185,15031,17216,0,0,306,306,0,,0,,,0.357142658747834,,,,
07/03/2020,202010,DC,11,0,2,2,0,0,0,0,0,,0,0.001582622187742,0.001931903676012,10.0786818719714,0,0,0,1
14/03/2020,202011,DC,11,10,41,51,0,0,0,0.5,0,,0,0.001349883630721,0.001964709587491,9.92646017302857,0,0,1,3
21/03/2020,202012,DC,11,67,457,524,0,0,1,1,0,,0,0.001303335919317,0.001830569860553,10.2745074591714,0,0,3,17
28/03/2020,202013,DC,11,227,1705,1932,0,0,3,3,121,,0,0.001567106283941,0.00155281314336,4.94639984665714,0,0,17,28
04/04/2020,202014,DC,11,598,3325,3923,0,0,17,17,1049,,0,0.001691233514352,0.001528026454687,1.57339646308571,0,313,28,44
11/04/2020,202015,DC,11,876,2725,3601,0,0,28,28,2490,,0,0.001613653995345,0.001415028315147,1.18592021711429,313,245.5,44,74
18/04/2020,202016,DC,11,888,2341,3229,378,610,44,44,3781,,313,0.001148176881303,0.00084639251617,0.063982275828572,245.5,0,74,40
25/04/2020,202017,DC,11,1033,3001,4034,624,825,74,74,4484,,245.5,0.000372381691234,8.31083090812595E-05,0,0,,40,
02/05/2020,202018,DC,11,407,1520,1927,69,120,40,40,2636,,0,,,0.0546557876,,,,
07/03/2020,202010,DE,10,0,0,0,0,0,0,0,0,,0,0.003522110162917,0.00276517382759,10.1040240009743,0,0,0,0
14/03/2020,202011,DE,10,6,26,32,0,0,0,0,0,,0,0.003910007757952,0.002698832984376,10.1843414936746,0,31,0,3
21/03/2020,202012,DE,10,39,0,39,0,0,0,0,0,,0,0.003289371605896,0.002380251132897,9.11251996701995,31,79.5,3,11
28/03/2020,202013,DE,10,169,0,169,0,0,3,3,22,,31,0.002653219550039,0.001928258574736,6.49616248662297,79.5,150.25,11,19
04/04/2020,202014,DE,10,379,5838,6217,0,0,11,11,280,,79.5,0.003413498836307,0.001790473746523,3.45117552979907,150.25,148.875,19,28
11/04/2020,202015,DE,10,886,4541,5274,0,0,19,19,971,,150.25,0.003072148952677,0.001576141791524,1.6347982175291,148.875,225.5625,28,51
18/04/2020,202016,DE,10,844,2070,2914,0,0,28,28,2259,,148.875,0.00211016291699,0.000944810250608,0.645257204208297,225.5625,213.21875,51,32
25/04/2020,202017,DE,10,1253,2800,3784,0,0,51,51,4280,,225.5625,0.00055857253685,0.000120288342091,0.225309737135878,213.21875,,32,
02/05/2020,202018,DE,10,1079,2761,3840,0,0,32,32,4176,,213.21875,,,0.215112408243514,,,,
07/03/2020,202010,FL,12,12,76,88,0,0,0,0,0,,0,0.095376260667184,0.060079288242945,4.4277860813429,0,158,3,9
14/03/2020,202011,FL,12,63,378,441,0,0,3,3,0,,0,0.092273079906905,0.057968774604434,5.59356068393433,158,368,9,42
21/03/2020,202012,FL,12,581,6101,6682,0,0,9,9,0,,158,0.08977501939488,0.050129619801357,8.22270003195816,368,936,42,137
28/03/2020,202013,FL,12,3105,28787,31892,0,0,42,42,0,,368,0.086020170674942,0.037885724616973,4.96638693358179,936,1199,137,247
04/04/2020,202014,FL,12,7348,55590,62938,0,0,137,137,0,,936,0.080341349883631,0.03077777712976,1.89610689140284,1199,1181,247,316
11/04/2020,202015,FL,12,7383,63483,70866,0,0,247,247,0,,1199,0.064266873545384,0.024152441051422,1.08197071245748,1181,1203,316,321
18/04/2020,202016,FL,12,6775,66819,73594,0,0,316,316,0,,1181,0.03955003878976,0.016513766818497,0.450688938483914,1203,579,321,165
25/04/2020,202017,FL,12,5570,81002,86572,0,0,321,321,0,,1203,0.009526764934057,0.003462117191464,0.04501815440762,579,,165,
02/05/2020,202018,FL,12,2354,38035,40389,0,0,165,165,0,,579,,,0.037036244341891,,,,
07/03/2020,202010,GA,13,4,0,4,0,0,0,0,0,0.3,0,0.025616757176106,0.026395636376361,3.75462942208737,0,0,1,13
14/03/2020,202011,GA,13,60,0,60,0,0,1,1,0,1.5,0,0.025352986811482,0.026677038194829,5.50895688793636,0,617,13,55
21/03/2020,202012,GA,13,441,2557,2998,0,0,13,13,0,3.3,0,0.027525213343677,0.020677201495366,6.14325591993827,617,622,55,132
28/03/2020,202013,GA,13,1859,6128,7987,0,0,55,55,0,2.9,617,0.028844065166796,0.015485119238553,3.89237060327564,622,1240,132,227
04/04/2020,202014,GA,13,3794,11449,15243,0,0,132,132,0,2.5,622,0.027695888285493,0.012752751322443,1.36677954635532,1240,941,227,245
11/04/2020,202015,GA,13,5999,19422,25421,0,0,227,227,0,2.5,1240,0.022730799069046,0.011116100849746,0.720065621328849,941,906,245,231
18/04/2020,202016,GA,13,5510,16983,22493,0,0,245,245,0,1.1,941,0.012738557020947,0.008165026857106,0.226922131246511,906,730,231,189
25/04/2020,202017,GA,13,5026,39780,44806,0,0,231,231,0,,906,0.003289371605896,0.001759125875553,0.027280355467367,730,,189,
02/05/2020,202018,GA,13,2877,22048,24925,0,0,189,189,0,,730,,,0.024860422672595,,,,
07/03/2020,202010,IA,19,0,0,0,0,0,0,0.375,0,0,0,0.007416602017068,0.011273569224847,10.5325315911936,0,0,0,0
14/03/2020,202011,IA,19,17,68,85,0,0,0,0.75,0,0,0,0.007804499612102,0.010713681668932,8.22875299903317,0,61,0,3
21/03/2020,202012,IA,19,51,966,1017,0,0,0,1.5,0,0.8,0,0.006718386346005,0.007861754430985,7.33936138701216,61,92,3,11
28/03/2020,202013,IA,19,230,3326,3556,0,0,3,3,48,0,61,0.005849495733126,0.005122825332579,4.51379711113348,92,40,11,20
04/04/2020,202014,IA,19,488,5079,5567,0,0,11,11,613,0.8,92,0.005321955003879,0.00398482471437,1.28827361162826,40,0,20,40
11/04/2020,202015,IA,19,724,6168,6892,60,110,20,20,2811,5.3,40,0.004918541505043,0.003453368948403,0.028402618399007,0,0,40,38
18/04/2020,202016,IA,19,1003,4812,5815,306,532,40,40,6153,9.1,0,0.003491078355314,0.002367128768306,0.004866347929838,0,0,38,36
25/04/2020,202017,IA,19,2579,8824,11403,404,672,38,38,9946,,0,0.000294802172227,0.000252970028519,0.004454346039899,0,,36,
02/05/2020,202018,IA,19,1751,5236,6987,251,397,36,36,8513,,0,,,0.000102130321278,,,,
07/03/2020,202010,ID,16,0,0,0,0,0,0,0.5,0,,0,0.002808378588053,0.002742574199682,6.83235590466929,0,0,0,0
14/03/2020,202011,ID,16,2,147,149,0,0,0,1,0,,0,0.002761830876649,0.00269081376157,6.47284919648206,0,25,0,4
21/03/2020,202012,ID,16,29,706,735,0,0,0,2,0,,0,0.002575640031032,0.002535532447234,6.33499675015058,25,37,4,6
28/03/2020,202013,ID,16,199,2462,2661,0,0,4,4,0,,25,0.00189294026377,0.00184296320489,3.78952388358708,37,66,6,15
04/04/2020,202014,ID,16,783,4515,5298,0,0,6,6,0,,37,0.001691233514352,0.00187868519739,0.837759494736881,66,23,15,18
11/04/2020,202015,ID,16,383,4511,4894,0,0,15,15,0,,66,0.001303335919317,0.001414299294892,0.43285142567431,23,17,18,11
18/04/2020,202016,ID,16,259,2586,2845,0,0,18,18,843,,23,0.000682699767261,0.000929500825251,0.352210557885911,17,5,11,6
